gen,beta,x,y,abund,muFit,sigmaFit,muDisp,sigmaDisp
18,0,0,10,98,0.0526849874229762,0.170886118709597,-100,0
18,0,0,7,90,0.0438379770644204,0.177483723017801,-100,0
18,0,0,1,115,0.0505232282428308,0.19917858322372,-100,0
18,0,0,9,90,0.0565440464864654,0.1264140406147,-100,0
18,0,0,8,89,0.0472909161829269,0.160237540388273,-100,0
18,0,0,6,98,0.0442257664716989,0.175950887884479,-100,0
18,0,0,2,107,0.0476018934959821,0.147398356867902,-100,0
18,0,0,3,99,0.043464917016035,0.201615830931306,-100,0
19,0,0,4,117,0.044789282640451,0.171501566857666,-100,0
19,0,0,5,109,0.0472836702026802,0.13975220755813,-100,0
19,0,0,10,102,0.0536719102071508,0.171717615706593,-100,0
19,0,0,7,92,0.0430192532440962,0.17978864443035,-100,0
19,0,0,1,95,0.0521443572500241,0.189171475049892,-100,0
19,0,0,9,115,0.0564896134645452,0.127055865386455,-100,0
19,0,0,8,99,0.0470902981107941,0.161485825083561,-100,0
19,0,0,6,99,0.0437589726121759,0.176064698809897,-100,0
19,0,0,2,116,0.0474468277815145,0.141284429012129,-100,0
19,0,0,3,84,0.0460929215610058,0.19252994804122,-100,0
20,0,0,4,108,0.0438288459174865,0.177850885164946,-100,0
20,0,0,5,106,0.047285515167344,0.139139430765935,-100,0
20,0,0,10,96,0.0536155084834033,0.177383860745895,-100,0
20,0,0,7,94,0.0425720244502507,0.180529659224939,-100,0
20,0,0,1,106,0.0510003125349246,0.188979166022637,-100,0
20,0,0,9,110,0.0573100075501019,0.123718114408209,-100,0
20,0,0,8,104,0.0460265499573138,0.161652229548339,-100,0
20,0,0,6,91,0.0423725483403695,0.175863857377229,-100,0
20,0,0,2,95,0.0481399069867872,0.140476264688684,-100,0
20,0,0,3,108,0.0470893986986591,0.184232989441423,-100,0
21,0,0,4,89,0.0428918881330437,0.186316843697474,-100,0
21,0,0,5,89,0.0470772756106425,0.138395398258468,-100,0
21,0,0,10,108,0.0527223813323452,0.176654770669691,-100,0
21,0,0,7,121,0.0418325267930666,0.179328323498953,-100,0
21,0,0,1,109,0.0502137070346817,0.185964508634233,-100,0
21,0,0,9,103,0.0568947061117017,0.127734177600251,-100,0
21,0,0,8,94,0.0460659618210364,0.161548173517617,-100,0
21,0,0,6,107,0.0420826527569347,0.175612163939502,-100,0
21,0,0,2,102,0.0480422175411943,0.14014427908182,-100,0
21,0,0,3,115,0.0494984196560756,0.179880310580329,-100,0
22,0,0,4,95,0.0416602865807159,0.193611395097781,-100,0
22,0,0,5,86,0.0475672944575428,0.13825987343549,-100,0
22,0,0,10,104,0.0532006625409666,0.171241745129177,-100,0
22,0,0,7,101,0.0418934400261883,0.176316214998995,-100,0
22,0,0,1,119,0.0497561086712173,0.185997549659952,-100,0
22,0,0,9,87,0.056476151847242,0.127957279343903,-100,0
22,0,0,8,100,0.0456699035097119,0.160390288485901,-100,0
22,0,0,6,115,0.0407107976024043,0.178002788970699,-100,0
22,0,0,2,100,0.0482326525649036,0.140380100426965,-100,0
22,0,0,3,102,0.0490980916635901,0.182276477773745,-100,0
